id JOBDI,TypeSite,libelle,libelle_court,id_abyla,actif,adresse_complete,adresse_complement,code_postal,adresse_commune,code_insee,nb_pieces,nb_places,exclusif_drh,infos_pratiques,latitude,longitude,resp_site,Actif_2015-2016,NbPostesTeletravail2015-2016,POccupation2015-2016,Actif2016-2017,NbPostesTeletravail2016-2017,POccupation2016-2017,Actif2017-2018,NbPostesTeletravail2017-2018,POccupation2017-2018,Actif2018-2019,NbPostesTeletravail2018-2019,POccupation2018-2019
16,Site Département,AGI de Lormont,AGI Lormont,,Non,1 allée du Vercors,,33310,LORMONT,33249,1,1,Non,"Bureau ""de passage"" / Téléphone 14 76",44.87548,-0.520131,Madame Dominique DELAGE,Non,1,100,Non,,,Non,,,Non,,
198,Site Département,Antenne sociale de Bassens,AS Bassens,,Oui,20 rue Lamartine,,33530,Bassens,33032,5,11,Non,"5 bureaux à  disposition :_x000D_
- 4 bureaux de 2 postes de travail : postes téléphoniques 13 41, 13 44 , 13 45 et 13 46_x000D_
- 1 bureau de 3 postes de travail : postes téléphoniques 13 42 et 13 43",44.904406,-0.514696,Monsieur Philippe VILLETORTE,Non,,,Non,,,Oui,11,56,,,
200,Site Département,Antenne sociale de Cenon,AS Cenon,,Oui,142 avenue René Cassagne,,33150,CENON,33119,1,3,Non,Téléphone 14 81 - 14 82 - 14 84,44.853195,-0.516795,Dominique DELAGE,Non,,,Non,,,Oui,3,20,,,
27,Site Département,Centre d'Exploitation de Bazas,CE Bazas,,Oui,5 chemin de Barraou,,33430,BAZAS,33036,1,1,Non,Bureau magasinier  / Téléphone 73 13,44.440058,-0.241227,Monsieur Olivier BARIBEAUD,Oui,1,40,Oui,1,20,Oui,1,20,,,
20,Site Département,Centre d'Exploitation de Cadillac,CE Cadillac,,Oui,3 avenue Joseph Caussil,,33410,CADILLAC,33081,1,2,Non,Ancien secrétariat  / Téléphone 73 56,44.635428,-0.311781,Monsieur Jean-Paul GELDER,Non,,,Oui,2,50,Oui,2,40,,,
30,Site Département,Centre d'Exploitation de Castillon la Bataille,CE Castillon la Bataille,,Oui,11 rue Paul Bert,,33350,CASTILLON LA BATAILLE,33108,2,2,Non,"Bureau ""Ancien bureau du chef de subdivision"" / Téléphone 73 66_x000D_
Bureau 1er étage / Téléphone 73 67",44.855682,-0.047307,Monsieur Romain CHARDON,Oui,1,20,Oui,1,60,Oui,2,60,,,
29,Site Département,Centre d'Exploitation de Coutras,CE Coutras,,Oui,68 Z. I. Eugreteau,,33230,COUTRAS,33138,1,2,Non,Bureau positionné à  côté de celui du responsable du Centre d'Exploitation  / Téléphone 73 34,45.036957,-0.097885,Monsieur Christian HUCHET,Oui,1,20,Oui,2,30,Oui,2,30,,,
108,Site Département,Centre d'Exploitation de La Brède,CE La Brède,,Oui,15 allée de la gare,,33650,La Brède,33213,1,2,Non,Bureau 4 (1er étage),44.681244,-0.523231,Monsieur Vincent PERRETO,Non,,,Non,,,Oui,2,70,,,
28,Site Département,Centre d'Exploitation de la Réole,CE La Réole,,Oui,Chemin de Peyrefitte,,33190,LA REOLE,33352,2,2,Non,"Bureau situé en face de celui du responsable du centre d'exploitation  / Téléphone 73 49_x000D_
Bureau à  proximité de la salle de réunion / Téléphone 73 47_x000D_
Responsable Centre d'exploitation : Albert CALDO (73 45)",44.587721,-0.039788,Monsieur Albert CALDO,Oui,1,10,Oui,1,60,Oui,2,30,,,
26,Site Département,Centre d'Exploitation de Lesparre,CE Lesparre,,Oui,38 rue du Docteur Scheweitzer,,33340,LESPARRE,33240,1,2,Non,Bureau secrétariat (1er étage) / Téléphone 73 26,45.310195,-0.929212,Monsieur François SOULARD,Oui,1,20,Oui,1,40,Oui,2,40,,,
